Age,Gender,City,Position,Total years of experience,Seniority level,Your main technology,Yearly brutto salary in EUR,Main language at work,Company size,Company type
66,Male,Munich,Software Engineer,40,Lead,Ruby,240000,German,51-100,Product
54,Male,Milano,Sales,31,Head,Network Automation,216000,English,Nov-50,Consulting
59,Male,Berlin,Backend Developer,30,Senior,Java,210000,German,101-1000,Product
45,Male,Berlin,Backend Developer,30,Senior,PHP,210000,English,Nov-50,Startup
51,Male,Berlin,Software Engineer,30,Senior,VB,200000,German,1000+,Consulting
56,Male,Munich,Software Engineer,30,Lead,C++,200000,English,51-100,Product
52,Male,Cologne,Network Engineer,30,Senior,Cisco,200000,Deutsch,1000+,Consulting
50,Male,Berlin,Software Engineer,29,Lead,C++,200000,German,Nov-50,Outsourcing
44,Male,Munich,Software Engineer,28,Senior,C#,200000,English,51-100,Product
50,Male,Frankfurt,Manager,28,Senior,Not Relevant,190000,English,1000+,Consulting
50,Male,Frankfurt,Manager,28,Senior,Not Relevant,180000,English,1000+,Consulting
49,Male,Munich,Software Engineer,27,Senior,Java,180000,German,101-1000,Consulting
45,Male,Schleswig-Holstein,Software Engineer,26,Senior,C#,175000,German,1000+,Product
30,Male,Berlin,Software Engineer,25,Senior,C++,172000,English,Nov-50,Product
48,Male,Berlin,Software Engineer,25,Senior,Java,160000,English,101-1000,Product
40,Male,Munich,Mobile Developer,25,Lead,Swift,160000,English,Nov-50,Product
45,Male,Berlin,Software Engineer,25,Lead,C++,160000,German,1000+,Product
65,Male,Berlin,Software Engineer,25,Senior,Pascal,159000,German,51-100,Product
47,Male,Bölingen,Software Engineer,25,Middle,Java,156000,German,Nov-50,Consulting
54,Male,Munich,Software Engineer,25,Middle,Python,155000,English,1000+,Consulting
44,Male,Berlin,Data Engineer,25,Senior,Python,154000,English,101-1000,Product
47,Male,Munich,Backend Developer,25,Senior,.NET,151872,Deutsch,up to 10,Product
43,Male,Schleswig-Holstein,Backend Developer,25,Senior,.NET,150000,Deutsch,101-1000,Product
49,Male,Munich,DevOps,25,Senior,Not Relevant,150000,Deutsch,1000+,Product
41,Male,Berlin,Data Engineer,25,Senior,Python,150000,English,51-100,Startup
45,Male,Berlin,Fullstack Developer,25,Senior,.NET,150000,Deutsch,51-100,Product
38,Male,Berlin,Tech Leader,24,Head,Java,150000,English,101-1000,Product
49,Male,Milan,Manager,24,Senior,Not Relevant,150000,Italian,101-1000,Product
46,Male,Frankfurt,Software Engineer,23,Senior,C#,150000,German,1000+,Consulting
42,Male,Berlin,DevOps,22,Lead,Yaml,147012,English,1000+,Startup
44,Male,Stuttgart,Software Engineer,22,Senior,Erlang,140400,English,51-100,Startup
47,Male,Hamburg,Software Engineer,22,Senior,C++,140400,English,up to 10,Product
40,Male,Frankfurt,Software Engineer,22,Senior,Java,140000,German,1000+,Product
41,Male,Rome,CTO,22,Head,Python,140000,Italian,51-100,Product
47,Male,London,Data Engineer,22,Middle,Google Cloud,140000,English,101-1000,Product
44,Male,Munich,Manager,22,Senior,Not Relevant,140000,Deutsch,1000+,Product
40,Male,Munich,Software Architect,22,Senior,Java,135000,Deutsch,101-1000,Product
41,Male,Munich,Backend Developer,21,Senior,Java,135000,English,101-1000,Product
43,Male,Munich,Consultant,21,Senior,Java,133000,German,101-1000,Consulting
42,Male,Berlin,Software Engineer,20,Senior,Ruby on Rails,130200,German,51-100,Product
42,Female,Berlin,QA Engineer,20,Middle,Python,130000,English,1000+,Product
40,Female,Munich,Software Engineer,20,Middle,Java,130000,German,101-1000,Behörde
43,Male,Berlin,Software Engineer,20,Senior,Python,130000,English,1000+,Product
42,Male,Berlin,ML Engineer,20,Senior,Python,130000,German,1000+,Product
42,Male,Den Haag,Backend Developer,20,Senior,.NET,130000,English,101-1000,Product
39,Male,Munich,Software Architect,20,Lead,Embedded,130000,English,1000+,Product
38,Male,Berlin,Freelance AI lead / advisor,20,Head,C,130000,English,up to 10,Consulting
41,Male,Berlin,Backend Developer,20,Senior,Python,130000,English,1000+,Product
40,Male,Karlsruhe,Team Manager,20,Lead,C#,130000,English,1000+,Enterprise
40,Male,Cupertino,Software Engineer,20,Lead,Swift,128000,English,1000+,Product
41,Male,Berlin,DevOps,20,Senior,Linux,125000,German,1000+,Product
38,Male,Berlin,Head of Engineering,20,Head,Java,125000,English,1000+,Consulting
43,Male,Stuttgart,SAP Consultant,20,Senior,SAP,125000,German,1000+,Product
43,Male,Berlin,Engineering Manager,20,Lead,Java,125000,English,1000+,Product
42,Male,Berlin,Software Engineer,20,Senior,PHP,125000,English,101-1000,Startup
35,Male,Berlin,Engineering Manager,20,Lead,Go,125000,English,Nov-50,Product
42,Male,Friedrichshafen,Software Engineer,20,Senior,C++,125000,English,101-1000,Product
43,Male,Berlin,Software Engineer,20,Middle,Ruby,124000,English,1000+,Product
36,Male,Nürnberg,Software Engineer,20,Lead,Java,124000,German,1000+,Finance
35,Male,Berlin,Software Engineer,20,Senior,Javascript / Typescript,123600,English,1000+,Product
40,Male,Berlin,Backend Developer,20,Lead,Java,122000,English,1000+,Startup
44,Male,Munich,Software Architect,20,Head,Java Backend,120000,German,101-1000,Product
45,Male,Munich,Software Engineer,20,Self employed,.NET,120000,German,up to 10,Product
44,Male,Berlin,Backend Developer,20,Senior,.NET,120000,Deutsch,51-100,Consulting
30,Male,Hamburg,SAP Consultant,20,Senior,Not Relevant,120000,Deutsch,1000+,Consulting
40,Male,Berlin,SRE,20,Senior,Multiple,120000,English,101-1000,Product
47,Male,Berlin,Embedded Developer,20,Senior,C++,120000,English,1000+,Outsourcing
